分类,歌名,价格
A,暗号,
A,暗香,
A,安静,
A,爱一点,
A,爱的魔法,
A,爱的天国,
A,爱如潮水,
A,爱似水仙,
A,爱丫爱丫,
A,爱你离开,
A,A.I.N.Y,
A,爱的天灵灵,
A,爱久见人心,
A,爱就一个字,
A,爱笑的眼睛,
A,爱要坦荡荡,
A,爱你一兆年,
A,爱你不是两三天,
A,爱了很久的朋友,
A,爱是奖励还是惩罚,
A,A MOMENT LIKE THIS,
B,半空,
B,不该,
B,宝贝,
B,不枉,
B,半情歌,
B,布谷鸟,
B,不应该,
B,白白的,
B,百年孤寂,
B,不眠之夜,
B,把耳朵叫醒,
B,贝加尔湖畔,
B,背对背拥抱,
B,别找我麻烦,
B,不跟你好了,
B,B小调雨后,
B,白鸟过河滩,
B,编号89757,
B,北极星的眼泪,
B,BA BA BA,
B,不要伤心我的宝贝,
C,彩虹,
C,偿还,
C,翅膀,
C,传奇,
C,车站,
C,蝉女,
C,崇拜(梁),
C,猜不透,
C,从前说,
C,从前慢,
C,敕勒川,
C,超能力,
C,丑八怪,
C,匆匆那年,
C,词不达意,
C,彩虹的微笑,
C,城里的月光,
C,出现又离开,
C,春夏秋冬的你,
C,从一道缝隙看黄昏,
C,C'EST LA VIE,
C,CAN YOU FEEL MY WORLD,
D,大鱼,
D,当你,
D,倒带,
D,稻香,
D,倒数,
D,带我走,
D,胆小鬼,
D,第一次,
D,第一天,
D,独角戏,
D,第三人,
D,等你下课,
D,电台情歌,
D,帝江混沌,
D,二十二(陶喆),
D,但愿人长久,
D,当爱在靠近,
D,踮起脚尖爱,
D,等下一个他,
D,第一次爱的人,
D,等到世界颠倒,
D,DEAR FRIEND,
F,枫,
F,恶作剧,
F,发如雪,
F,复活节,
F,飞云之下,
F,分手快乐,
F,非你不爱,
F,反方向的钟,
F,风起时想你,
F,FLY AWAY,
G,搁浅,
G,过火,
G,光亮,
G,归零,
G,公主病,
G,过不去,
G,告白气球,
G,勾指起誓,
G,光年之外,
G,孤独颂歌,
G,光的方向,
G,古德奈先生,
G,孤单北半球,
G,给我一个吻,
G,给我一个理由忘记,
H,花,
H,红豆,
H,后来,
H,花园,
H,幻想,
H,海底,
H,画情,
H,好听,
H,红玫瑰,
H,黄昏晓,
H,回娘家,
H,哈哈哈,
H,好想好想,
H,黑色毛衣,
H,呼吸决定,
H,忽然之间,
H,花的嫁纱,
H,蝴蝶泉边,
H,HONEY,
H,还是好朋友,
H,很爱很爱你,
H,会呼吸的痛,
H,会开花的云,
H,化身孤岛的鲸,
H,回不去的从前,
H,还是你的笑容最可爱,
